[2025-10-06 02:21:54,163] INFO: [*] Buscando página 1: https://mangaonline.blog/manga/
[2025-10-06 02:24:11,231] INFO: [*] Buscando página 1: https://mangaonline.blog/manga/
[2025-10-06 02:26:18,382] INFO: [*] Buscando página 1: https://mangaonline.blog/manga/
[2025-10-06 02:26:41,512] INFO: [*] Buscando página 1: https://mangaonline.blog/manga/
[2025-10-06 02:26:42,543] INFO: [*] Buscando página 2: https://mangaonline.blog/manga/page/2/
[2025-10-06 02:26:42,867] INFO: [*] Buscando página 3: https://mangaonline.blog/manga/page/3/
[2025-10-06 02:26:43,199] INFO: [*] Buscando página 4: https://mangaonline.blog/manga/page/4/
[2025-10-06 02:26:43,565] INFO: [*] Buscando página 5: https://mangaonline.blog/manga/page/5/
[2025-10-06 02:26:43,893] INFO: [*] Buscando página 6: https://mangaonline.blog/manga/page/6/
[2025-10-06 02:26:44,219] INFO: [*] Buscando página 7: https://mangaonline.blog/manga/page/7/
[2025-10-06 02:26:44,547] INFO: [*] Buscando página 8: https://mangaonline.blog/manga/page/8/
[2025-10-06 02:26:45,315] INFO: [!] Página 8 não encontrada ou vazia. Encerrando.
[2025-10-08 13:46:55,411] INFO: [*] Sincronizando mangás do provedor MangaOnline
[2025-10-08 13:46:55,413] INFO: [*] Buscando página 1: https://mangaonline.blog/manga/
[2025-10-08 13:46:55,567] INFO: [*] Buscando página 2: https://mangaonline.blog/manga/page/2/
[2025-10-08 13:46:55,659] INFO: [*] Buscando página 3: https://mangaonline.blog/manga/page/3/
[2025-10-08 13:46:55,796] INFO: [*] Buscando página 4: https://mangaonline.blog/manga/page/4/
[2025-10-08 13:46:55,901] INFO: [*] Buscando página 5: https://mangaonline.blog/manga/page/5/
[2025-10-08 13:46:57,560] INFO: [*] Buscando página 6: https://mangaonline.blog/manga/page/6/
[2025-10-08 13:46:59,668] INFO: [*] Buscando página 7: https://mangaonline.blog/manga/page/7/
[2025-10-08 13:47:01,673] INFO: [*] Buscando página 8: https://mangaonline.blog/manga/page/8/
[2025-10-08 13:47:02,876] INFO: [!] Página 8 não encontrada ou vazia. Encerrando.
[2025-10-08 13:47:02,899] INFO: [*] Buscando capítulos pela url: https://mangaonline.blog/manga/solo-leveling-ragnarok/
[2025-10-08 13:47:02,987] INFO: [*] Capítulos encontrados: 58
[2025-10-08 13:47:02,991] INFO: [*] Total de capítulos extraídos: 58
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 1 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 2 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 3 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 4 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 5 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 6 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,991] INFO: [!] Capítulo 7 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 8 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 9 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 10 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 11 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 12 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 13 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 14 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 15 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 16 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 17 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 18 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 19 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 20 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 21 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 22 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 23 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,992] INFO: [!] Capítulo 24 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 25 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 26 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 27 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 28 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 29 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 30 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 31 já existente em 'Solo Leveling: Ragnarok'.
[2025-10-08 13:47:02,993] INFO: [!] Capítulo 32 já existente em 'Solo Leveling: Ragnarok'.
